text,label
I feel so amazing today! Everything went perfectly and I couldn’t stop smiling.,happy
I'm on top of the world today! Everything feels right.,happy
Had such a joyful day – filled with laughter and love.,happy
"Feeling fantastic, nothing ruined my vibe today!",happy
I'm deeply grateful and incredibly happy with how today turned out.,happy
I had a great time with friends today. We laughed a lot!,happy
Feeling grateful and excited for the weekend!,happy
I got promoted today and I’m thrilled!,happy
Celebrated with cake and laughter. Best day ever!,happy
Excited to start my new job!,happy
I'm feeling down. Nothing seems to cheer me up.,sad
I just feel empty and alone.,sad
"Lost my keys, missed the bus… what a horrible day.",sad
I don’t feel like talking to anyone today.,sad
Feeling very low and tired all day.,sad
They treated me so unfairly. I’m really mad.,angry
Why does everything annoy me today?,angry
No one seems to understand me. I’m upset.,angry
This traffic is driving me insane!,angry
He insulted me in front of everyone. Unbelievable!,angry
It was an average day. Nothing exciting or upsetting.,neutral
I stayed home and did nothing. It was okay.,neutral
Just stayed calm and watched a movie.,neutral
A normal routine day with nothing special.,neutral
"Quiet day at home. Not bad, not great.",neutral
I’m nervous about tomorrow. I can’t stop worrying.,anxious
My heart races every time I think about the results.,anxious
I feel so uneasy. Something’s not right.,anxious
I'm anxious about speaking in front of the class.,anxious
Woke up in a panic again. I hate this feeling.,anxious
I just got the job! I can’t believe it — I’m so pumped!,excited
I can’t wait to see everyone at the party!,excited
Everything is coming together — I’m thrilled!,excited
We leave for vacation tomorrow! So excited!,excited
Opening night is here! I'm filled with adrenaline.,excited
No one texted me today. I feel invisible.,lonely
I wish I had someone to talk to.,lonely
"Even in a crowd, I feel completely alone.",lonely
The silence is deafening today.,lonely
Scrolling social media just makes me feel more isolated.,lonely
I’m thankful for my supportive friends and family.,grateful
Today reminded me how lucky I am.,grateful
Grateful for the little things in life.,grateful
I really appreciate everyone who helped me.,grateful
Feeling blessed and content.,grateful
Nothing to do today. Just lying in bed scrolling my phone.,bored
So bored I counted the cracks in the ceiling.,bored
Everything feels dull. Nothing interests me.,bored
It's one of those days where time just drags.,bored
I’m restless but there’s nothing exciting to do.,bored
Too many deadlines. I’m totally overwhelmed.,stressed
I can’t handle all this pressure.,stressed
I feel like I’m going to break.,stressed
Everything is piling up and I’m stressed.,stressed
"I barely slept, my mind won’t stop racing.",stressed
I could barely get out of bed today. Just feel drained.,tired
Exhausted from all the work this week.,tired
Too tired to even think straight.,tired
All I want is to sleep for a week.,tired
Running on fumes today. Need rest.,tired
